memory,type,is_cold,exec_time,connection_time,client_time,provider_time
1024,warm,False,1151525,0.063699,1316564,1162
1024,warm,False,1901415,0.072024,2020236,1908
1024,warm,False,1168215,0.087893,1307361,1174
1024,warm,False,1176099,0.094135,1322020,1183
1024,warm,False,1175615,0.083273,1314042,1182
1024,warm,False,1125360,0.070226,1390797,1221
1024,warm,False,1187581,0.095999,1335110,1194
1024,warm,False,1136983,0.10722,1435575,1146
1024,warm,False,1246763,0.083419,1390146,1253
1024,warm,False,1153565,0.101535,1312734,1159
1024,warm,False,1185307,0.063363,1369419,1194
1024,warm,False,1202678,0.099738,1385729,1209
1024,warm,False,1130622,0.082433,1267638,1138
1024,warm,False,1137354,0.074497,1259239,1143
1024,warm,False,1234105,0.104227,1420114,1273
1024,warm,False,1132850,0.101904,1359122,1172
1024,warm,False,1093472,0.081576,1329502,1101
1024,warm,False,1122176,0.072315,1397800,1128
1024,warm,False,1275327,0.098948,1429782,1285
1024,warm,False,1750040,0.083052,1960566,1756
1024,warm,False,1162956,0.09667,1322945,1170
1024,warm,False,1216916,0.066738,1390511,1223
1024,warm,False,1201753,0.102902,1355580,1209
1024,warm,False,1076947,0.075222,1204616,1084
1024,warm,False,1189451,0.078872,1446043,1195
1024,warm,False,1250138,0.086357,1385250,1256
1024,warm,False,1247178,0.103289,1408061,1253
256,cold,True,1988822,0.118249,5318601,2004
256,cold,True,1879394,0.086989,5488959,1892
256,cold,True,1781228,0.082091,4622499,1792
256,cold,True,1896042,0.140656,4979380,1907
256,cold,True,1964968,0.066203,5578498,1976
256,cold,True,1828098,0.062989,4541494,1840
256,cold,True,2241343,0.086837,5230643,2251
256,cold,True,2127259,0.10326,6005255,2143
256,cold,True,1733399,0.103186,4921166,1744
256,cold,True,1819249,0.081265,4822335,1829
256,cold,True,1950331,0.099994,5633381,1962
256,cold,True,1762843,0.070844,4440191,1774
256,cold,True,1923001,0.073606,4457500,1936
256,cold,True,1866853,0.077325,5023374,1881
256,cold,True,1866988,0.090739,4507677,1881
256,cold,True,1914651,0.08224,5378151,1926
256,cold,True,1781066,0.11813,4994889,1793
256,cold,True,1854923,0.080112,5232635,1867
256,cold,True,1917317,0.075554,4654675,1928
256,cold,True,1854354,0.126449,5655626,1865
256,cold,True,1926410,0.096697,5398816,1941
256,cold,True,2038954,0.077478,5827587,2057
256,cold,True,2217349,0.075658,6100093,2232
256,cold,True,1943655,0.073447,4773571,1955
256,cold,True,2028456,0.096727,5740062,2043
256,cold,True,1861269,0.095901,5170332,1874
256,cold,True,1780645,0.085502,4407300,1791
256,cold,True,1806723,0.077786,4458818,1817
256,cold,True,2012873,0.105796,4461514,2025
256,cold,True,1867309,0.119786,5216642,1879
256,cold,True,1879656,0.063287,5247399,1891
256,cold,True,1717261,0.091402,4592842,1727
256,cold,True,1894724,0.10949,5363483,1907
256,cold,True,1932887,0.143369,4749442,1943
256,cold,True,1975206,0.138332,4988292,1985
256,cold,True,2797067,0.073857,5941403,2811
256,cold,True,1855403,0.143051,4940182,1869
256,cold,True,1936298,0.084795,5732451,1946
256,cold,True,1846455,0.069084,4837817,1861
256,cold,True,1921026,0.081818,5267017,1934
256,cold,True,2008860,0.086831,5415759,2022
256,cold,True,2180831,0.075291,6234743,2197
256,cold,True,2159687,0.162454,7209174,2176
256,cold,True,2384111,0.147615,7442025,2399
256,cold,True,5966570,0.07179,6098079,5975
256,cold,True,1902813,0.137546,5447246,1914
256,cold,True,2778307,0.061576,6536066,2792
256,cold,True,2474098,0.106121,5961965,2488
256,cold,True,1954268,0.098708,5215710,1967
256,cold,True,1963219,0.072317,6343823,1976
256,cold,True,2109135,0.078406,5599911,2133
256,cold,True,1886884,0.072487,5422112,1900
256,cold,True,2557842,0.129559,5850105,2568
256,cold,True,1844263,0.133306,5010038,1855
256,cold,True,2014237,0.09756,4037309,2025
256,cold,True,1850373,0.085355,4986716,1864
256,cold,True,1889471,0.138288,5298317,1900
256,cold,True,1913658,0.096205,5099416,1925
256,cold,True,2160792,0.093359,4984295,2174
256,cold,True,2041184,0.104985,5413001,2054
256,cold,True,2142953,0.057995,5345770,2158
256,cold,True,2025110,0.120243,5278168,2042
256,cold,True,1784486,0.089398,4800066,1795
256,cold,True,1878509,0.097745,4834291,1892
256,cold,True,2798820,0.078553,6151985,2814
256,cold,True,1991872,0.092814,4921641,2006
256,cold,True,1846505,0.096579,4913642,1858
256,cold,True,2312256,0.080326,4849422,2325
